gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,results_to,team_alive,team_id,team_name,team_rating,team_region,team_seed,team_slot,RPI_index,RPI,seed,regressed_rating
mens,3/12/2023,0,1,0.008253903,0.000844124,0.000116639,0.0000123,0.00000197,2.42E-07,1,1,357,Longwood,74.24718291,South,16,66,151,0.5205,16,74.24718291
mens,3/12/2023,0,1,0.508126528,0.091935716,5.50E-02,2.63E-02,1.18E-02,3.99E-03,1,1,120,Nebraska,84.22147173,South,8,68,43,0.5871,8,84.22147173
mens,3/12/2023,0,1,0.491873472,0.087225019,0.052298325,0.025069597,0.01107039,0.003674293,1,1,277,Texas A&M,82.26965923,South,9,70,64,0.5692,9,82.26965923
mens,3/12/2023,0,1,0.669242707,0.385298635,0.102075736,0.046222328,0.022748117,0.008456092,1,1,21,Wisconsin,87.54396844,South,5,72,21,0.6064,5,87.54396844
mens,3/12/2023,0,1,0.330757293,0.145341635,0.023798191,0.00752484,0.002406098,0.000577516,1,1,232,James Madison,80.01482652,South,12,74,69,0.5644,12,80.01482652
mens,3/12/2023,0,1,0.721410838,0.375305749,0.098569752,0.044362887,0.019295838,0.006305345,1,1,258,Duke,87.01438254,South,4,76,39,0.5906,4,87.01438254
mens,3/12/2023,0,1,0.278589162,0.094053981,0.01391519,0.004059145,0.001157052,0.000248121,1,1,231,Vermont,81.49426522,South,13,78,34,0.5931,13,81.49426522
mens,3/12/2023,0,1,0.785335862,0.457925503,0.260874761,0.110836055,0.060183228,0.024875662,1,1,156,Texas Tech,85.90141033,South,6,80,35,0.5927,6,85.90141033
mens,3/12/2023,0,1,0.214664138,0.073063974,0.02958466,0.008666911,0.003287527,0.000934981,1,1,152,NC State,80.58235742,South,11,82,71,0.5635,11,80.58235742
mens,3/12/2023,0,1,0.889010974,0.451153926,0.241321565,0.095409239,0.056138545,0.025384482,1,1,239,Kentucky,87.21375344,South,3,84,45,0.5847,3,87.21375344
mens,3/12/2023,0,1,0.110989026,0.017856597,0.003037756,0.00037485,0.0000796,0.0000128,1,1,2540,Oakland,78.27598231,South,14,86,81,0.5580,14,78.27598231
mens,3/12/2023,0,1,0.359265361,0.09164939,0.033308577,0.009685177,0.003949577,0.001208377,1,1,142,Florida,85.77567143,South,7,88,28,0.5996,7,85.77567143
mens,3/12/2023,1,0.5,0.640734639,0.220408522,0.078826166,0.022566287,0.009452973,2.97E-03,0,1,328,Boise State,83.95526752,South,10a,90,25,0.6007,10,83.95526752
mens,3/12/2023,1,0.5,0.640734639,0.220408522,0.078826166,0.022566287,0.009452973,0.002972274,0,1,328,Colorado,83.93317792,South,10b,91,26,0.6004,10,83.93317792
mens,3/12/2023,0,1,0.935394107,0.674503558,0.350618916,0.145674263,0.08355365,0.036703994,1,1,12,Marquette,89.95342834,South,2,92,18,0.6133,2,89.95342834
mens,3/12/2023,0,1,0.064605893,0.013438531,0.002427598,0.000361637,0.0000755,0.000012,1,1,163,Western Kentucky,75.10187861,South,15,94,146,0.5235,15,75.10187861
mens,3/12/2023,0,1,0.971047547,0.741489232,0.588248324,4.07E-01,3.09E-01,2.21E-01,1,1,248,Purdue,95.12295925,Midwest,1,96,2,0.6749,1,95.12295925
mens,3/12/2023,1,0.5,0.028952453,0.003638409,0.000675058,0.0000999,0.0000145,0.00000219,0,1,94,Montana State,71.75105811,Midwest,16a,98,226,0.4866,16,71.75105811
mens,3/12/2023,1,0.5,0.028952453,0.003638409,0.000675058,9.99E-05,1.45E-05,2.19E-06,0,1,94,Grambling State,73.71703251,Midwest,16b,99,165,0.5133,16,73.71703251
mens,3/12/2023,0,1,0.419077203,0.095680581,0.057980839,0.028663103,0.012365692,0.005105941,1,1,2294,Utah State,86.92376613,Midwest,8,100,11,0.6238,8,86.92376613
mens,3/12/2023,0,1,0.580922797,0.159191778,0.089796666,0.040943299,0.018508499,0.007978505,1,1,2,TCU,81.76159843,Midwest,9,102,72,0.5623,9,81.76159843
mens,3/12/2023,0,1,0.594447596,0.264267455,0.061067412,0.023692745,0.009442572,0.003625692,1,1,2390,Gonzaga,86.45421484,Midwest,5,104,36,0.5916,5,86.45421484
mens,3/12/2023,0,1,0.405552404,0.151522138,0.035333421,0.013802719,0.004600655,0.001500816,1,1,2181,McNeese State,81.37701852,Midwest,12,106,47,0.5829,12,81.37701852
mens,3/12/2023,0,1,0.737316538,0.470208014,0.14871807,0.072521076,0.032506922,0.013903798,1,1,84,Kansas,88.92145134,Midwest,4,108,15,0.6165,4,88.92145134
mens,3/12/2023,0,1,0.262683462,0.114002394,0.01818021,0.0052745,0.001455593,0.00039978,1,1,2309,Samford,81.77406682,Midwest,13,110,32,0.5969,13,81.77406682
mens,3/12/2023,0,1,0.57566435,0.310552576,0.131102256,0.050010013,0.020871425,0.008359643,1,1,66,South Carolina,85.70996713,Midwest,6,112,40,0.5901,6,85.70996713
mens,3/12/2023,0,1,0.254328639,0.128129987,0.043899924,0.013782159,0.005594645,0.002184621,1,1,344,Oregon,81.25240862,Midwest,11,114,59,0.5726,11,81.25240862
mens,3/12/2023,0,1,0.874221896,0.461439763,0.164394027,0.05351694,0.020982712,0.007937184,1,1,2752,Creighton,87.89853104,Midwest,3,116,33,0.5940,3,87.89853104
mens,3/12/2023,0,1,0.125778104,0.02273864,0.002481244,0.00026618,0.0000416,0.00000675,1,1,338,Akron,78.69568471,Midwest,14,118,70,0.5637,14,78.69568471
mens,3/12/2023,0,1,0.60401245,0.21929161,0.124536951,0.046087028,2.42E-02,1.20E-02,1,1,245,Texas,83.81706023,Midwest,7,120,58,0.5730,7,83.81706023
mens,3/12/2023,1,0.5,0.39598755,0.116699701,0.055609081,0.016690661,0.006185568,0.002222538,0,1,213,Virginia,82.32063712,Midwest,10a,122,52,0.5785,10,82.32063712
mens,3/12/2023,1,0.5,0.39598755,0.116699701,0.055609081,0.016690661,0.006185568,0.002222538,0,1,213,Colorado State,85.00084192,Midwest,10b,123,17,0.6149,10,85.00084192
mens,3/12/2023,0,1,0.921391659,0.646431553,0.452847483,0.222234482,0.14000751,0.082699134,1,1,251,Tennessee,91.29353074,Midwest,2,124,7,0.6315,2,91.29353074
mens,3/12/2023,0,1,0.078608341,0.017577136,0.00440695,0.000665104,0.000132684,2.71E-05,1,1,2142,Saint Peter's,74.41710101,Midwest,15,126,163,0.5142,15,74.41710101
womens,3/12/2023,0,1,0.999655968,0.9909538,0.970030517,0.906635613,0.758053024,0.644855834,1,1,2579,South Carolina,104.0808458,Albany 1,1,0,3,0.6993,1,104.0808458
womens,3/12/2023,1,0.5,0.000344032,4.09E-05,4.20E-06,1.92E-07,4.88E-09,1.96E-10,0,1,2450,Sacred Heart,56.49880732,Albany 1,16a,2,196,0.4931,16,56.49880732
womens,3/12/2023,1,0.5,0.000344032,0.0000409,0.0000042,0.000000192,4.88E-09,1.96E-10,0,1,2450,Presbyterian,51.84451132,Albany 1,16b,3,240,0.4677,16,51.84451132
womens,3/12/2023,0,1,0.572000643,0.005785862,0.002900197,0.000818288,1.47E-04,3.34E-05,1,1,58,N. Carolina,78.83899689,Albany 1,8,4,52,0.5865,8,78.83899689
womens,3/12/2023,0,1,0.427999357,0.003219457,0.001457861,0.000361174,0.0000604,0.0000128,1,1,269,Michigan St.,77.72770019,Albany 1,9,6,57,0.584,9,77.72770019
womens,3/12/2023,0,1,0.800671891,0.263088529,0.008148457,2.92E-03,9.15E-04,3.36E-04,1,1,201,Oklahoma,87.61511498,Albany 1,5,8,23,0.6237,5,87.61511498
womens,3/12/2023,0,1,0.199328109,0.027038232,0.000168956,0.0000196,0.00000174,0.000000211,1,1,2501,Fla Gulf Coast,76.55604211,Albany 1,12,10,50,0.5883,12,76.55604211
womens,3/12/2023,0,1,0.949169273,0.70023912,1.73E-02,5.34E-03,1.30E-03,3.78E-04,1,1,26,Indiana,91.89646368,Albany 1,4,12,12,0.6435,4,91.89646368
womens,3/12/2023,0,1,0.050830727,0.009634118,0.000028,0.00000174,0.000000087,6.36E-09,1,1,16,Fairfield,78.52317741,Albany 1,13,14,38,0.6026,13,78.52317741
